Age,Weight (kg)_mean,Height (m)_mean,Calories_Burned_mean,Water_Intake (liters)_mean,Workout_Frequency (days/week)_mean,BMI_mean,Physical exercise_mean,Carbs_mean,Proteins_mean,Fats_mean,Calories_mean,sugar_g_mean,sodium_mg_mean,cholesterol_mg_mean,Burns Calories (per 30 min)_mean,Sleep Duration_mean,Quality of Sleep_mean,Physical Activity Level_mean,Stress Level_mean,Heart Rate_mean,Daily Steps_mean,Gender_Male_pct,Gender_Female_pct,meal_type_Snack_pct,meal_type_Lunch_pct,meal_type_Breakfast_pct,meal_type_Dinner_pct,diet_type_Low-Carb_pct,diet_type_Vegan_pct,diet_type_Keto_pct,diet_type_Balanced_pct,diet_type_Paleo_pct,diet_type_Vegetarian_pct,cooking_method_Baked_pct,cooking_method_Boiled_pct,cooking_method_Raw_pct,cooking_method_Steamed_pct,cooking_method_Fried_pct,cooking_method_Roasted_pct,cooking_method_Grilled_pct,Sleep Disorder_Sleep Apnea_pct,Sleep Disorder_Insomnia_pct
35,77.2,1.69,1224.98,2.73,3.56,27.08,0.41,247.08,98.82,65.92,2125.3,26.98,1204.75,128.91,343.14,7.22,7.75,56.67,4.42,68.5,5625.0,49.73,50.27,22.99,23.26,25.94,24.6,22.73,13.64,16.31,12.83,16.58,14.71,13.9,14.97,13.64,13.64,13.9,12.57,14.17,0.27,0.4
36,80.77,1.77,1329.41,2.8,3.54,25.97,0.22,251.97,100.82,67.18,2203.48,29.72,751.86,139.36,349.87,7.07,7.5,55.83,4.5,69.0,6633.33,48.56,51.44,23.56,27.64,25.24,20.67,18.51,18.03,14.42,12.74,14.66,18.75,18.03,14.9,14.66,14.66,11.54,11.06,12.26,0.48,0.48
37,74.51,1.73,1175.72,2.45,3.05,24.87,0.31,243.96,97.61,65.03,2020.19,16.87,1209.98,158.06,344.7,7.25,7.9,60.1,4.25,68.55,7060.0,49.14,50.86,24.32,24.57,26.54,19.66,17.2,14.25,18.18,14.74,18.43,12.29,13.27,13.02,15.23,14.99,14.74,11.06,12.78,0.445,0.4
38,69.48,1.7,1261.14,2.7,3.52,24.35,0.5,256.31,102.54,68.36,1930.09,22.54,1240.61,127.58,337.13,7.18,7.95,60.0,4.6,68.8,7365.0,51.56,48.44,22.54,24.11,22.77,26.12,15.62,13.62,14.73,17.63,16.52,17.41,15.62,14.73,12.95,12.5,13.17,12.5,14.06,0.45,0.4
39,73.14,1.76,1168.93,2.57,3.1,23.42,0.38,238.31,95.34,63.55,1987.61,22.52,1029.77,156.71,332.99,7.24,7.87,60.67,4.93,69.13,7500.0,51.41,48.59,24.5,23.9,24.3,24.3,13.65,18.07,15.66,17.27,17.27,15.06,14.06,13.25,15.46,12.05,12.25,15.86,14.06,0.445,0.4
40,68.21,1.74,1361.49,2.7,3.54,22.99,0.42,247.22,98.88,65.91,1893.52,26.28,1384.29,166.42,344.52,7.55,8.0,72.5,5.5,70.5,7650.0,50.0,50.0,21.0,27.7,27.14,23.42,16.54,16.54,17.1,16.54,16.73,15.8,13.75,13.2,15.61,14.13,17.47,11.15,13.94,0.445,0.4
41,72.28,1.74,1302.34,2.74,3.5,24.05,0.4,248.19,99.29,66.2,1996.05,27.32,1098.25,178.13,331.76,7.53,7.83,82.5,5.25,70.5,7516.67,51.51,48.49,26.11,24.16,22.74,24.87,16.16,15.45,16.87,14.21,17.05,18.12,17.05,12.97,11.37,13.32,14.03,14.56,14.56,0.445,0.18
42,64.29,1.74,1251.51,2.58,3.23,21.27,0.29,262.03,104.76,69.87,1767.04,24.71,1429.41,133.73,340.42,7.43,7.33,75.0,5.67,72.0,7111.11,53.23,46.77,20.58,24.83,26.53,26.53,13.95,16.84,16.16,14.46,19.56,17.52,13.78,12.93,17.35,11.73,14.29,14.8,13.61,0.34,0.17
43,71.78,1.74,1298.67,2.67,3.18,23.61,0.67,272.73,109.09,72.74,1972.51,25.5,1465.51,130.13,345.7,7.15,7.09,67.12,5.71,70.24,6988.24,53.34,46.66,22.7,23.96,26.04,22.56,17.83,14.9,15.18,15.18,15.46,16.71,13.93,12.12,11.7,13.23,13.65,16.85,13.79,0.28,2.37
44,77.3,1.76,1338.11,2.74,3.62,24.83,1.06,277.74,111.08,74.07,2142.95,28.3,1674.53,176.27,348.59,6.44,6.4,45.0,5.9,69.63,5966.67,52.05,47.95,22.56,26.15,19.49,24.1,17.44,12.56,14.87,16.67,14.36,16.41,11.79,11.54,13.59,13.33,15.13,13.33,13.59,0.445,7.18
45,68.57,1.74,1335.52,2.62,3.47,22.58,0.52,245.61,98.25,65.51,1902.1,24.84,1254.91,147.7,341.65,6.62,7.0,43.57,4.36,65.71,5964.29,45.5,54.5,27.33,22.59,24.49,23.38,15.64,18.33,15.96,13.43,17.54,16.9,13.11,12.32,16.59,13.11,14.38,13.43,14.85,0.445,1.74
46,69.5,1.7,1325.99,2.76,3.29,24.23,0.25,236.61,94.68,63.09,1914.25,26.26,1394.47,143.82,343.08,7.22,7.5,60.1,5.5,70.24,7000.0,46.48,53.52,26.23,23.03,22.39,28.36,13.43,20.26,14.93,15.99,16.63,18.76,14.5,14.93,15.14,15.99,12.37,15.35,11.73,0.445,0.4
47,73.31,1.75,1308.85,2.87,3.41,24.17,0.5,259.71,103.86,69.28,2007.82,27.97,1205.56,151.99,342.9,7.22,7.5,60.1,5.5,70.24,7000.0,50.32,49.68,24.41,25.48,25.48,24.63,15.85,17.77,16.06,15.63,18.63,16.06,16.27,14.78,14.78,13.06,14.78,13.06,13.28,0.445,0.4
48,78.8,1.68,1349.96,2.72,3.63,27.82,0.43,243.43,97.36,64.92,2169.08,25.12,1294.87,138.35,351.41,6.83,6.67,73.33,6.0,80.33,5666.67,48.64,51.36,26.9,24.46,26.36,21.47,17.66,17.12,14.4,16.58,16.85,16.58,12.23,13.04,16.3,16.3,14.4,13.59,13.32,0.27,0.54
49,69.97,1.75,1359.02,2.72,3.44,23.06,0.22,231.16,92.49,61.63,1936.07,25.68,1338.22,144.03,351.89,6.49,6.55,89.09,7.09,77.0,8854.55,46.32,53.68,25.45,26.04,22.07,24.25,14.51,18.49,16.1,16.7,15.11,16.9,14.12,13.12,14.51,15.9,12.52,14.31,13.32,1.99,0.4
50,68.02,1.69,1293.19,2.68,3.24,24.11,0.37,252.76,101.11,67.41,1866.66,24.22,1157.88,156.75,345.12,6.15,6.15,87.0,7.75,74.5,9750.0,52.98,47.02,23.73,25.76,23.29,24.31,15.57,15.14,17.03,17.47,15.14,16.74,14.7,16.45,14.12,15.72,11.06,12.23,12.81,2.47,0.15
51,69.24,1.65,1171.69,2.59,3.0,25.56,0.73,248.59,99.46,66.31,1897.17,26.58,1391.1,166.09,342.44,7.41,7.62,55.62,5.25,69.62,7000.0,47.17,52.83,27.03,22.85,21.62,26.54,13.76,12.04,17.69,18.43,18.92,17.2,14.99,13.02,12.53,15.48,14.5,11.55,15.97,0.74,0.4
52,71.05,1.68,1366.22,2.58,3.26,25.26,0.62,252.67,101.06,67.37,1952.78,26.06,1245.63,145.79,343.23,7.18,7.67,40.0,5.67,69.67,5666.67,47.51,52.49,22.02,25.19,22.47,28.96,18.25,15.08,15.84,15.08,18.25,16.14,15.23,13.12,12.97,15.08,13.42,13.12,15.69,0.445,0.9
53,70.34,1.72,1235.57,2.52,3.49,23.82,0.22,255.83,102.33,68.2,1935.03,22.82,1302.18,134.72,355.21,8.42,9.0,30.0,3.0,65.0,5000.0,48.87,51.13,22.79,24.64,24.44,24.64,17.86,16.02,15.4,16.02,15.2,16.02,11.91,13.96,14.58,16.63,12.32,14.17,12.94,0.445,0.21
54,74.75,1.72,1220.3,2.57,3.15,25.18,0.82,282.88,113.19,75.46,2044.82,25.97,1386.49,166.37,347.68,8.41,9.0,30.0,3.0,65.0,5000.0,51.13,48.87,24.66,24.36,26.48,23.45,17.55,16.94,15.43,15.28,17.85,15.89,14.37,13.31,14.07,13.62,16.04,12.86,14.67,0.445,0.4
55,79.35,1.73,1070.64,2.48,3.07,26.49,0.27,241.39,96.62,64.39,2141.73,19.61,1226.31,132.26,340.84,8.1,9.0,75.0,4.0,72.0,5000.0,52.6,47.4,27.12,23.84,25.21,23.29,17.53,18.36,15.89,16.44,15.34,15.89,17.81,12.88,13.97,10.68,12.6,15.62,15.89,0.55,0.4
56,81.36,1.74,1285.11,2.79,3.34,26.95,0.22,250.54,100.25,66.8,2203.57,24.42,1232.68,147.95,336.41,8.2,9.0,90.0,3.0,65.0,10000.0,49.11,50.89,27.05,20.82,25.27,26.51,19.04,17.79,16.01,17.08,16.19,13.52,15.66,15.84,12.99,14.41,14.59,13.52,12.63,0.445,0.4
57,76.44,1.69,1272.03,2.54,3.48,26.97,0.62,233.99,93.63,62.42,2107.87,22.41,1241.74,140.1,345.15,8.16,9.0,75.0,3.0,68.0,7000.0,51.42,48.58,25.43,22.01,26.94,23.91,18.22,13.66,16.7,16.13,17.27,16.32,13.85,14.23,14.8,13.47,14.61,16.51,10.82,1.52,0.4
58,70.94,1.72,1202.99,2.49,3.12,23.76,0.52,253.4,101.34,67.54,1937.01,15.92,1245.03,146.55,347.15,8.0,9.0,75.0,3.0,68.0,7000.0,47.81,52.19,23.39,22.11,23.39,29.56,15.68,18.25,17.22,14.4,16.45,16.45,16.45,12.85,12.08,12.08,15.42,17.22,12.34,1.54,0.4
59,79.54,1.73,1182.92,2.74,3.26,26.62,0.27,249.36,99.73,66.52,2171.1,28.86,1335.29,170.15,340.76,8.09,9.0,75.0,3.0,68.0,7000.0,47.12,52.88,27.49,22.25,23.04,23.04,15.45,17.54,18.06,15.71,13.35,15.71,10.21,16.23,12.3,14.4,13.87,13.35,15.45,3.66,0.4
60,90.28,1.75,1147.96,2.89,3.3,29.41,-0.01,223.22,89.5,59.59,2423.3,24.58,1036.51,194.33,351.2,7.22,7.5,60.1,5.5,70.24,7000.0,40.0,60.0,40.0,30.0,10.0,20.0,20.0,20.0,30.0,20.0,10.0,16.43,10.0,13.315000000000001,20.0,20.0,13.829999999999998,30.0,20.0,0.445,0.4
